car,price
Acura,18554.384615384617
Alfa Romeo,9040.818181818182
Aro,3600.0
Aston Martin,105000.0
Audi,17882.752735229762
BMW,22677.912463976947
BYD,8114.142857142857
Barkas,5500.0
Bentley,197504.625
Bogdan,4950.0
Buick,3500.0
Cadillac,70833.33333333333
Changan,6028.0
Chery,4404.671698113208
Chevrolet,10163.843125
Chrysler,9557.875
Citroen,8215.226201388889
Dacia,4891.791666666667
Dadi,5550.0
Daewoo,3757.6555319148933
Daihatsu,6600.0
Dodge,17768.75
FAW,4900.0
Ferrari,167500.0
Fiat,6473.388655462185
Fisker,0.0
Ford,10448.15096857143
GAZ,3225.377941176471
GMC,17666.0
Geely,6253.815089285715
Great Wall,8555.555555555555
Groz,4400.0
Hafei,6100.0
Honda,13523.89978276699
Huanghai,8500.0
Hummer,28440.0
Hyundai,12457.305899182564
Infiniti,27741.494375000002
Isuzu,9980.0
JAC,8350.0
Jaguar,24791.644736842107
Jeep,25647.52
Kia,12216.000693023258
Lamborghini,130000.0
Lancia,2166.6666666666665
Land Rover,50557.45033112583
Lexus,27743.190804597703
Lifan,3800.0
Lincoln,16500.0
MG,9149.5
MINI,17667.666666666668
Maserati,110000.0
Mazda,10111.64217171717
Mercedes-Benz,28314.937024972856
Mercury,10000.0
Mitsubishi,11157.539143730886
Moskvich-AZLK,1629.1666666666667
Moskvich-Izh,1176.10259
Nissan,14109.54317527174
Opel,6253.97
Other-Retro,12700.0
Peugeot,8704.923076923076
Porsche,45606.782608695656
Renault,7812.404896695096
Rolls-Royce,65000.0
Rover,12512.5
SMA,2900.0
Saab,7000.0
Samand,4749.5
Samsung,6299.0
Seat,8414.076923076924
Skoda,10703.783621059783
Smart,6770.497234210527
SsangYong,14252.01522222222
Subaru,13873.631578947368
Suzuki,10855.063793103449
TATA,12900.0
Tesla,99509.09090909091
Toyota,21839.57154121996
UAZ,4551.428571428572
VAZ,2830.745296523517
Volkswagen,12732.631693589743
Volvo,18586.5625
Wartburg,1000.0
ZAZ,3153.567833333333
ZX,7700.0
�UAZ,2257.7916666666665
